shipment_id,origin,destination,weight_kg,cost_usd,ship_date,carrier,status,supplier_id
SHP-00001,Kuala Lumpur,London,36.45,35406.66,2024-01-31,Asia Cargo,delivered,3
SHP-00002,Osaka,Piraeus,354.75,11938.33,2024-12-08,Orient Lines,delivered,9
SHP-00003,Hanoi,Cartagena,2881.27,12187.71,2024-08-30,Orient Lines,delivered,7
SHP-00004,Manila,Le Havre,1771.81,20584.56,2024-01-28,Pacific Express,delivered,47
SHP-00005,Bangkok,Taipei,1243.66,9550.93,2024-08-17,Asia Cargo,delivered,18
SHP-00006,Taipei,Rotterdam,4372.49,3815.48,2024-10-08,Pacific Express,delivered,35
SHP-00007,Osaka,Shanghai,4845.0,46322.03,2024-05-01,Asia Cargo,delivered,31
SHP-00008,Mumbai,Lisbon,4512.26,8273.62,2024-01-02,Orient Lines,delivered,30
SHP-00009,Singapore,Le Havre,3483.11,36538.74,2024-10-11,Orient Lines,delivered,19
SHP-00010,Mumbai,Singapore,2896.11,27132.65,2024-06-09,Pacific Express,delivered,31
SHP-00011,Jakarta,Vancouver,787.58,48040.91,2024-02-11,Asia Cargo,delivered,5
SHP-00012,Manila,Rotterdam,2019.18,47082.73,2024-10-18,Asia Cargo,in_transit,3
SHP-00013,Kuala Lumpur,Bangkok,2096.41,29204.43,2024-09-24,Global Freight,customs_hold,14
SHP-00014,Manila,Genoa,1193.81,19819.5,2024-12-09,Global Freight,delivered,49
SHP-00015,Busan,Singapore,47.07,31076.9,2024-10-15,Pacific Express,delivered,14
SHP-00016,Jakarta,Hamburg,662.72,17482.99,2024-02-05,Asia Cargo,delivered,11
SHP-00017,Taipei,Santos,3517.85,30603.3,2024-11-30,Pacific Express,in_transit,36
SHP-00018,Singapore,Kingston,518.38,43912.44,2024-05-15,Pacific Express,delayed,48
SHP-00019,Jakarta,Manila,1362.1,30261.25,2024-06-24,Asia Cargo,in_transit,17
SHP-00020,Jakarta,Houston,1255.98,45412.54,2024-01-27,Pacific Express,in_transit,18
SHP-00021,Shanghai,Tokyo,1668.12,6584.44,2024-05-14,Asia Cargo,in_transit,36
SHP-00022,Hanoi,Le Havre,2804.75,5638.1,2024-12-19,Asia Cargo,delivered,24
SHP-00023,Kuala Lumpur,Buenos Aires,740.89,6415.9,2024-06-06,Global Freight,delayed,3
SHP-00024,Busan,Istanbul,1050.78,12514.01,2024-02-22,Global Freight,in_transit,27
SHP-00025,Kuala Lumpur,Manila,4628.86,11875.03,2024-03-24,Asia Cargo,delayed,2
SHP-00026,Seoul,Piraeus,3912.04,20615.07,2024-12-08,Asia Cargo,delivered,45
SHP-00027,Tokyo,Gothenburg,4360.9,42936.73,2024-04-23,Asia Cargo,delayed,30
SHP-00028,Bangkok,Marseille,4102.77,43572.59,2024-04-24,Pacific Express,in_transit,26
SHP-00029,Bangkok,Antwerp,4321.83,48346.11,2024-05-22,Global Freight,in_transit,26
SHP-00030,Manila,Santos,1656.08,1428.65,2024-05-13,Asia Cargo,in_transit,17
SHP-00031,Shanghai,Taipei,2983.06,17317.07,2024-06-09,Orient Lines,in_transit,33
SHP-00032,Tokyo,Gothenburg,4497.57,9544.43,2024-01-23,Orient Lines,delivered,35
SHP-00033,Manila,Kingston,985.58,21593.31,2024-12-06,Global Freight,in_transit,43
SHP-00034,Osaka,Taipei,3598.91,15051.1,2024-06-07,Orient Lines,delivered,45
SHP-00035,Singapore,Buenos Aires,636.88,21051.29,2024-07-13,Asia Cargo,in_transit,20
SHP-00036,Hong Kong,Buenos Aires,4168.71,15228.55,2024-04-17,Orient Lines,in_transit,39
SHP-00037,Manila,Genoa,2325.21,22135.88,2024-04-19,Orient Lines,in_transit,48
SHP-00038,Seoul,Kingston,424.44,25796.83,2024-11-20,Global Freight,delivered,49
SHP-00039,Mumbai,Balboa,1552.44,40337.82,2024-03-16,Pacific Express,delivered,31
SHP-00040,Kuala Lumpur,Singapore,2277.35,44312.54,2024-10-21,Asia Cargo,in_transit,25
SHP-00041,Taipei,Lisbon,1220.3,32820.1,2024-01-03,Pacific Express,in_transit,15
SHP-00042,Seoul,Vancouver,2323.02,27892.42,2024-03-03,Orient Lines,delivered,30
SHP-00043,Manila,Vancouver,4939.47,29792.84,2024-08-14,Orient Lines,delayed,36
SHP-00044,Taipei,Hanoi,3718.41,23759.99,2024-05-12,Asia Cargo,delayed,18
SHP-00045,Shenzhen,Vancouver,2423.24,12000.33,2024-08-13,Pacific Express,in_transit,16
SHP-00046,Singapore,Piraeus,1598.89,27030.6,2024-03-11,Asia Cargo,delivered,45
SHP-00047,Seoul,Busan,321.61,20409.59,2024-10-04,Orient Lines,delivered,14
SHP-00048,Osaka,Dublin,1947.69,38501.3,2024-12-22,Pacific Express,delayed,49
SHP-00049,Kuala Lumpur,Gothenburg,2385.16,47139.95,2024-06-01,Orient Lines,delayed,27
SHP-00050,Jakarta,Santos,3999.44,44895.68,2024-09-06,Asia Cargo,delivered,32
SHP-00051,Shanghai,Gothenburg,1680.98,33973.14,2024-07-26,Asia Cargo,delayed,9
SHP-00052,Kuala Lumpur,Santos,135.32,19731.31,2024-10-15,Pacific Express,delivered,28
SHP-00053,Seoul,New York,909.05,13044.81,2024-06-16,Asia Cargo,delivered,22
SHP-00054,Shenzhen,Gothenburg,1391.64,47562.65,2024-08-03,Global Freight,delayed,31
SHP-00055,Shanghai,Santos,260.9,47598.39,2024-04-24,Pacific Express,in_transit,42
SHP-00056,Shanghai,Seoul,4748.08,10008.07,2024-01-11,Asia Cargo,delivered,31
SHP-00057,Manila,Taipei,2820.07,10937.33,2024-12-24,Global Freight,in_transit,11
SHP-00058,Kuala Lumpur,Seattle,4818.69,35931.94,2024-03-24,Global Freight,delivered,2
SHP-00059,Busan,Marseille,2879.2,45405.91,2024-07-11,Orient Lines,customs_hold,13
SHP-00060,Tokyo,Savannah,3453.23,31380.76,2024-02-22,Global Freight,delayed,39
