product_id,product_name,price,currency,category,seller,last_updated
MP0001,Elegant Wooden Bowl,220.54,EUR,garden,beta,2024-03-09
MP0002,Artisan Iron Bookend,202.65,gbp,accessories,alpha,09/03/2024
MP0003,Classic Silk Cushion,165.37,USD,kitchen,alpha,01/03/2024
MP0004,Bespoke Resin Earrings,36.41,USD,home,beta,2024-03-05
MP0005,LUXURY COTTON SCARF,243.56,usd,decor,gamma,03/11/2024
MP0006,Premium Denim Apron,57.1,USD,kitchen,alpha,12/03/2024
MP0007,organic canvas tote,85.86,GBP,stationery,gamma,14/03/2024
MP0008,Modern  Marble Coaster,101.28,EUR,decor,alpha,11/03/2024
MP0009,BESPOKE CORK NOTEBOOK,,GBP,kitchen,alpha,02/03/2024
MP0010,Elegant Resin Earrings   ,,GBP,kitchen,alpha,02/03/2024
MP0011,Classic Resin Earrings,242.52,GBP,garden,alpha,07/03/2024
MP0012,Rustic Copper Kettle,77.89,eur,  fashion,beta,2024-03-07
MP0013,Artisan Stone Mortar,5.11,GBP,kitchen,alpha,07/03/2024
MP0014,orGaNIc WOOL bLANKEt,62.31,eur,accessories,beta,05/03/2024
MP0015,Luxury Silk Cushion,243.6,USD,jewellery,alpha,04/03/2024
MP0016,LUXURY BRASS CANDLEHOLDER,177.48,usd,garden,gamma,2024-03-05
MP0017,Natural Velvet Pouch   ,84.71,EUR,stationery,beta,2024-03-12
MP0018,Classic  Brass Candleholder,142.39,eur,stationery,gamma,03/07/2024
MP0019,  Vintage Silver Ring,94.37,USD,home,gamma,03/15/2024
MP0020,rustic wicker basket,197.27,usd,stationery,alpha,02/03/2024
MP0021,Organic Brass Candleholder,180.2,EUR,fashion,beta,2024-03-01
MP0022,Artisan Paper Lampshade,235.42,EUR,fashion,alpha,12/03/2024
MP0023,modern brass candleholder,227.14,GBP,home,alpha,08/03/2024
MP0024,Vintage Wooden Bowl,138.6,EUR,fashion,gamma,03/05/2024
MP0025,Modern Wool Blanket   ,171.03,EUR,,alpha,14/03/2024
MP0026,Classic Cork Notebook,57.97,EUR,garden,beta,11/03/2024
MP0027,Handmade Enamel Pin,231.48,usd,kitchen,alpha,01/03/2024
MP0028,HANDMADE LEATHER WALLET,40.54,USD,KITCHEN,beta,2024-03-11
MP0029,Artisan Stone Mortar,33.48,gbp,stationery,alpha,08/03/2024
MP0030,  Natural Copper Kettle,41.08,GBP,  kitchen,gamma,2024-03-03
MP0031,Organic Cork Notebook,155.0,gbp,decor,gamma,03/13/2024
MP0032,nATURal wickeR bAskET,202.31,gbp,  STATIONERY,alpha,03/03/2024
MP0033,Elegant Brass Candleholder,140.89,USD,kitchen,beta,2024-03-11
MP0034,Elegant Jute Rug   ,102.43,gbp,jewellery,alpha,04/03/2024
MP0035,Organic Silver Ring,128.56,EUR,fashion,gamma,03/11/2024
MP0036,Bespoke Enamel Pin,47.12,usd,STATIONERY,gamma,06/03/2024
MP0037,Bespoke Paper Lampshade,216.53,gbp,accessories,alpha,05/03/2024
MP0038,Handmade Iron Bookend,59.59,USD,fashion,beta,03/03/2024
MP0039,RUSTIC VELVET POUCH,196.78,GBP,decor,gamma,2024-03-06
MP0040,Classic Oak Cutting Board   ,20.96,USD,accessories,gamma,05/03/2024
MP0041,RUSTIC WOOL BLANKET,233.54,EUR,stationery,beta,2024-03-08
MP0042,handmade paper lampshade,65.64,GBP,kitchen,gamma,08/03/2024
MP0043,Artisan Stone Mortar   ,179.96,GBP,garden,beta,2024-03-01
MP0044,MOderN iRON boOkEND,,gbp,accessories,beta,06/03/2024
MP0045,  Natural Enamel Pin,60.59,USD,home,beta,14/03/2024
MP0046,Premium Stone Mortar,200.49,eur,  GARDEN,alpha,07/03/2024
MP0047,Rustic Iron Bookend,144.38,EUR,fashion,alpha,07/03/2024
MP0048,CLASSIC LEATHER WALLET,63.33,usd,  decor,gamma,03/07/2024
MP0049,modern wooden bowl,159.84,usd,kitchen,beta,
MP0050,classic copper kettle,133.67,EUR,stationery,alpha,02/03/2024
MP0051,Elegant Resin Earrings,85.84,GBP,jewellery,beta,04/03/2024
MP0052,PREmiUM CORk nOtebOOK,45.32,gbp,home,alpha,10/03/2024
MP0053,Elegant Enamel Pin,132.03,eur,accessories,alpha,15/03/2024
MP0054,MODERN TIN CANDLE,83.73,USD,jewellery,beta,2024-03-06
MP0055,HANDMADE BRASS CANDLEHOLDER,77.54,GBP,,gamma,10/03/2024
MP0056,classic cotton scarf,31.36,EUR,jewellery,gamma,2024-03-12
MP0057,Modern Ceramic Mug,109.27,EUR,decor,beta,09/03/2024
MP0058,ViNtaGe wOoden bowL,127.6,GBP,HOME,gamma,03/06/2024
MP0059,natural leather wallet,,EUR,garden,beta,05/03/2024
MP0060,Organic Brass Candleholder,198.47,usd,home,gamma,2024-03-05
MP0061,OrGaniC linen TaBLeCloTH,88.8,usd,decor,beta,2024-03-11
MP0062,Artisan Cork Notebook,193.09,EUR,kitchen,gamma,03/15/2024
MP0063,Vintage Paper Lampshade,186.13,GBP,accessories,alpha,11/03/2024
MP0064,Luxury Bamboo Tray,66.96,USD,garden,beta,2024-03-11
MP0065,Natural Paper Lampshade,234.12,USD,FASHION,gamma,2024-03-04
MP0066,  Bespoke Glass Vase,218.44,EUR,kitchen,gamma,03/13/2024
MP0067,Premium Canvas Tote,39.42,gbp,garden,gamma,03/13/2024
MP0068,Handmade Cotton Scarf,241.6,GBP,decor,gamma,03/07/2024
MP0069,Vintage Marble Coaster,216.15,EUR,fashion,alpha,10/03/2024
MP0070,lUXury copper kettLE,162.57,gbp,  decor,gamma,14/03/2024
MP0071,Handmade Silk Cushion,131.09,USD,JEWELLERY,alpha,01/03/2024
MP0072,Classic Wooden Bowl,219.11,gbp,garden,alpha,07/03/2024
MP0073,Luxury Oak Cutting Board,69.2,EUR,garden,alpha,15/03/2024
MP0074,classic clay planter,202.95,USD,home,alpha,03/03/2024
MP0075,RUSTIC LINEN TABLECLOTH,149.08,usd,stationery,gamma,03/12/2024
MP0076,Premium Velvet Pouch,47.43,GBP,STATIONERY,gamma,09/03/2024
MP0077,LUxURy cOttOn SCArf,40.95,GBP,stationery,beta,15/03/2024
MP0078,ELEGANT CLAY PLANTER,79.4,eur,kitchen,alpha,13/03/2024
MP0079,Modern Enamel Pin,63.4,usd,jewellery,gamma,07/03/2024
MP0080,Vintage  Wicker Basket,34.94,eur,kitchen,beta,13/03/2024
MP0081,Vintage Leather Wallet   ,154.1,USD,decor,gamma,03/08/2024
MP0082,Vintage Wooden Bowl,154.9,USD,stationery,gamma,2024-03-05
MP0083,Artisan Cotton Scarf,,gbp,,gamma,12/03/2024
MP0084,Luxury Silver Ring,50.77,GBP,  decor,gamma,01/03/2024
MP0085,Artisan Clay Planter,234.02,USD,kitchen,gamma,2024-03-03
MP0086,Rustic Clay Planter,43.51,EUR,stationery,alpha,14/03/2024
MP0087,Rustic Velvet Pouch,240.06,gbp,garden,gamma,2024-03-06
MP0088,Rustic Silver Ring,28.87,GBP,fashion,alpha,04/03/2024
MP0089,luxury wicker basket,169.24,USD,decor,gamma,03/10/2024
MP0090,LUXURY DENIM APRON,238.31,EUR,garden,beta,
MP0091,elegant canvas tote,164.58,eur,decor,beta,2024-03-10
MP0092,Vintage Copper Kettle,106.49,USD,decor,gamma,08/03/2024
MP0093,Organic Denim Apron,94.05,GBP,stationery,beta,2024-03-10
MP0094,Elegant Stone Mortar,238.25,usd,jewellery,beta,2024-03-11
MP0095,Natural Jute Rug,112.93,EUR,kitchen,gamma,05/03/2024
MP0096,Elegant Ceramic Mug,150.04,eur,garden,gamma,2024-03-14
MP0097,Natural Paper Lampshade,77.66,GBP,garden,gamma,2024-03-11
MP0098,Vintage Porcelain Plate   ,147.32,GBP,  fashion,gamma,
MP0099,Organic Cotton Scarf,246.69,USD,stationery,beta,07/03/2024
MP0100,Organic Wool Blanket,65.41,USD,  accessories,gamma,2024-03-10
MP0101,Premium Velvet Pouch,139.11,EUR,fashion,alpha,09/03/2024
MP0102,Modern Paper Lampshade,6.14,GBP,DECOR,beta,2024-03-13
MP0103,CLassIC ENameL PIN,43.01,GBP,home,beta,2024-03-06
MP0104,premium wool blanket,150.04,GBP,stationery,beta,2024-03-09
MP0105,handmade porcelain plate,195.2,EUR,jewellery,beta,2024-03-14
MP0106,Organic Cotton Scarf,84.95,gbp,  fashion,beta,2024-03-05
MP0107,Classic Copper Kettle,,usd,KITCHEN,alpha,09/03/2024
MP0108,Premium Oak Cutting Board,56.89,USD,HOME,alpha,11/03/2024
MP0109,Modern Brass Candleholder,161.1,EUR,garden,gamma,2024-03-11
MP0110,Bespoke Oak Cutting Board,45.23,eur,kitchen,gamma,14/03/2024
MP0111,classic wicker basket,19.44,usd,home,beta,2024-03-05
MP0112,Artisan Tin Candle,56.06,USD,fashion,gamma,03/14/2024
MP0113,  Classic Stone Mortar,202.03,EUR,decor,gamma,04/03/2024
MP0114,Artisan Cotton Scarf,,EUR,decor,gamma,2024-03-03
