comment_text,is_toxic
How would you apply this in industry?,0
Really opened my eyes to a new perspective,0
Classic example of the blind leading the blind,1
Would this work with a larger dataset?,0
I see where you're coming from but I'm not convinced,0
This is sick! Love it,0
"Fair points, but the evidence is a bit thin",0
Sharing this with everyone I know,0
I'm impressed by how consistently wrong you manage to be,1
Would this work with a larger dataset?,0
This take is fire,0
This deserves way more views,0
How long did it take to put this together?,0
I'd have liked to see more data backing up the claims,0
"Decent overview, though it skips some nuance",0
What are the limitations of this method?,0
Top quality as always,0
"Unreal, this blew my mind",0
The analogy at the start doesn't quite hold up,0
"A useful introduction, though experts might find it basic",0
What a disgrace of a video,1
Has this been peer reviewed?,0
Genuinely top-notch content,0
I think the video oversimplifies things a bit,0
I think the concept oversimplifies things a bit,0
Cringe doesn't even begin to describe this,1
How would you apply this in industry?,0
"Bless your heart, thinking you're an expert",1
"Superb work, keep it up",0
Has anyone tried this approach?,0
Does the order of the steps matter here?,0
"Short, sweet and incredibly impressive",0
This is sick! Love it,0
Worth watching but take the stats with a pinch of salt,0
Imagine being a fan of this absolute drivel,1
One of the best explanations I've seen on the explanation,0
I think the truth is somewhere in the middle,0
"Short, sweet and incredibly engaging",0
Pure trash content from a trash creator,1
You're a joke and so is the idea,1
I think the truth is somewhere in the middle,0
"This guy is dangerous, knows too much",0
You're not qualified to talk about anything,1
I've seen better analysis from a five-year-old,1
"This made my day, genuinely wonderful",0
This is a good start but needs more depth,0
I'm dead so funny,0
"Fair points, but the evidence is a bit thin",0
I agree with the general thrust but not the specifics,0
Has this been peer reviewed?,0
How would you apply this in industry?,0
More of this please,0
"You're so close to getting it, and yet so far",1
How long did it take to put this together?,0
"Not bad, though the pacing could be better",0
More of this please,0
I wish my lecturers explained things this well,0
Tell me you don't understand the topic without telling me you don't understand the topic,1
Not my favourite but I can see why people like it,0
I'd recommend reading the original paper alongside this,0
Does this still apply in 2024?,0
Not sure about the methodology but the conclusions seem sound,0
"Decent overview, though it skips some nuance",0
I think the explanation oversimplifies things a bit,0
"Your content is worthless, stop making it",1
How would you apply this in industry?,0
Worth watching but take the stats with a pinch of salt,0
I wish my lecturers explained things this well,0
"Fair points, but the evidence is a bit thin",0
Your audience must have the IQ of a brick,1
Only complete morons would share this,1
This take is fire,0
Top quality as always,0
It's a complex issue and this does a decent job of introducing it,0
"This makes my blood boil, absolute pitiful nonsense",1
I'd recommend reading the original paper alongside this,0
This deserves way more views,0
"Really outstanding breakdown, subscribed",0
What a pathetic excuse for content,1
Would this work with a larger dataset?,0
How do you handle the edge cases here?,0
"Decent overview, though it skips some nuance",0
Where can I find the original source?,0
"Absolutely savage breakdown, loved it",0
You make hard things look easy,0
"Perfect explanation, nothing to add",0
