text_id,source_type,title,author,year,raw_text
BL-DT-0001,manuscript,Henry VIII and the Break with Rome,Prof. Sarah Llewellyn,1941,"<div>Henry VIII's break  with Rome in  1534 was driven less by theology than by dynastic  necessity</div>. His desire for a male heir, combined with the Pope's refusal to annul his marriage to Catherine of Aragon, set  in motion the English Reformation and the establishment of the​ Church of England."
BL-DT-0002,manuscript,Johnson's Dictionary of the English Language,Dr. Fatima Al-Rashid,1928,"BL Digital Collections | Catalogue Ref: BL/MS/2345 | Page 97

Samuel Johnson's Dictionary of the English Language, published in 1755, was the most comprehensive English dictionary of its era<br/>. Johnson worked largely alone, defining over 42,000 words with characteristic wit: his definition of oats as  'a grain which in​ England is generally given to horses, but in​ Scotland supports the people' is  still quoted."
BL-DT-0003,exhibition_guide,Alfred Russel Wallace and Natural Selection,Dr. Ananya Krishnamurthy,1926,"Alfred Russel Wallace independently conceived the theory of natural selection while suffering from malaria in the Malay Archipelago. His paper, presented jointly with Darwin's at the Linnean Society in 1858, received remarkably little immediate attention."
BL-DT-0004,historical_record,Factory Life and the Rhythm of Industrial Time,Prof. George Stephenson-Wright,2007,"The factory system​ concentrated  workers  in purpose-built mills, fundamentally altering the rhythm of daily life.​ Clock time replaced seasonal time, the  factory bell supplanted the church​ bell, and the distinction between home and workplace became absolute."
BL-DT-0005,historical_record,Child Labour and the Factory Acts,Dr. Amara Osei,1920,"Child labour in the cotton mills  of Lancashire  prompted​ a series of Factory Acts beginning in 1833. The earliest legislation limited the working hours of children under thirteen, though enforcement remained patchy and evasion widespread for decades.<br/>"
BL-DT-0006,exhibition_guide,The Elizabethan Poor Laws,Prof. Margaret Cavendish-Scott,1938,"<div>The Elizabethan Poor Laws of 1597 and 1601 established the principle that local parishes bore responsibility for their destitute inhabitants</div>. This framework, however imperfect, endured for over two centuries and laid the groundwork for the modern welfare state."
BL-DT-0007,exhibition_guide,The Dodo: Extinction and Memory,Prof. Sarah Llewellyn,1919,"The dodo, native to Mauritius and extinct by the 1680s, survives in the collections of the Natural History Museum as a handful of bones and a single preserved head. Its disappearance has become a universal symbol of human-caused extinction.

Page 129 of 145 -- British Library Digital Collection"
BL-DT-0008,manuscript,Chaucer and the Social World of the Canterbury Tales,Dr. Hannah Westcott,1870,"Chaucer's Canterbury Ta1es, composed in the 1ate fourteenth century, provides an unrivalled portrait of medieval English society. From the Knight to the Wife of Bath, each pilgrim represents a distinct social stratum, and their tales reveal the preoccupations, prejudices, and pleasures of the age."
BL-DT-0009,research_paper,Tudor Navigation and Exploration,Prof. Elizabeth Montagu,1978,"Tudor navigation relied on a combination of dead reckoning, celestial observation, and coastal pilotage. The development of the astrolabe and the cross-staff improved latitude measurement, but longitude remained essentially guesswork
 until the eighteenth century."
BL-DT-0010,manuscript,Public Health Legislation in Victorian Britain,Dr. Fatima Al-Rashid,1908,"The Public Health Act of 1875 consolidated decades  of sanitary legislation, requiring local authorities to   provide clean water, sewerage, and refuse collection.  It marked a decisive shift towards government intervention in matters previously left to individual  initiative."
BL-DT-0011,letter,The English Renaissance in Literature and Music,Dr. Hannah Westcott,2016,"The English Renaissance saw a flowering of literature, music, and architecture. The poetry of Edmund Spenser, the music of Thomas Tallis, and the great prodigy houses of the Elizabethan era all drew on Continental influences while developing a distinctively English character."
BL-DT-0012,historical_record,Photography and Victorian Culture,Prof. Sarah Llewellyn,1925,"Photography transformed Victorian culture. From the daguerreotype portraits of the 1840s to the snapshot cameras of the 1890s, the medium democratised image-making and created an entirely
 new re1ationship between individuals and their visual record. For access requests, email m.jones@cam.ac.uk or call 020 7946 0123"
