product_id,product_name,price,currency,category,stock_quantity,last_updated
GAM-P001,Classic Velvet Pouch,35.53,USD,jewellery,170,03/03/2024
GAM-P002,Elegant Copper Kettle,31.78,USD,stationery,15,03/03/2024
GAM-P003,Handmade Linen Tablecloth,7.51,USD,fashion,60,03/03/2024
GAM-P004,Rustic Enamel Pin,16.89,USD,jewellery,28,03/03/2024
GAM-P005,Modern Wooden Bowl,55.3,USD,kitchen,53,03/03/2024
GAM-P006,Luxury Stone Mortar,135.29,USD,accessories,5,03/03/2024
GAM-P007,Organic Enamel Pin,88.69,USD,jewellery,169,03/03/2024
GAM-P008,Handmade Wooden Bowl,48.9,USD,garden,70,03/03/2024
GAM-P009,Bespoke Jute Rug,111.56,USD,decor,14,03/03/2024
GAM-P010,Natural Resin Earrings,33.47,USD,home,147,03/03/2024
GAM-P011,Rustic Iron Bookend,16.98,USD,garden,23,03/03/2024
GAM-P012,Natural Cotton Scarf,26.05,USD,home,162,03/03/2024
GAM-P013,Organic Cork Notebook,27.01,USD,decor,40,03/03/2024
GAM-P014,Vintage Jute Rug,104.58,USD,garden,104,03/03/2024
GAM-P015,Modern Tin Candle,100.73,USD,home,29,03/03/2024
GAM-P016,Natural Tin Candle,113.17,USD,accessories,29,03/03/2024
GAM-P017,Vintage Porcelain Plate,63.39,USD,kitchen,46,03/03/2024
GAM-P018,Handmade Cotton Scarf,94.54,USD,home,114,03/03/2024
GAM-P019,Organic Cork Notebook,54.73,USD,garden,63,03/03/2024
GAM-P020,Artisan Wicker Basket,113.28,USD,decor,9,03/03/2024
GAM-P021,Premium Stone Mortar,32.9,USD,stationery,86,03/03/2024
GAM-P022,Artisan Clay Planter,6.94,USD,kitchen,116,03/03/2024
GAM-P023,Bespoke Velvet Pouch,122.63,USD,accessories,38,03/03/2024
GAM-P024,Premium Silver Ring,19.57,USD,fashion,5,03/03/2024
GAM-P025,Elegant Velvet Pouch,62.24,USD,kitchen,86,03/03/2024
GAM-P026,Handmade Stone Mortar,101.41,USD,kitchen,38,03/03/2024
GAM-P027,Natural Silk Cushion,59.46,USD,home,151,03/03/2024
GAM-P028,Artisan Denim Apron,127.8,USD,jewellery,184,03/03/2024
GAM-P029,Rustic Resin Earrings,119.69,USD,home,54,03/03/2024
