product_id,product_name,price,currency,category,stock_quantity,last_updated
BET-P001,Handmade Tin Candle,56.31,EUR,garden,98,2024-03-03
BET-P002,Natural Canvas Tote,142.46,EUR,accessories,178,2024-03-03
BET-P003,Natural Canvas Tote,73.57,EUR,home,154,2024-03-03
BET-P004,Luxury Resin Earrings,24.09,EUR,garden,1,2024-03-03
BET-P005,Premium Copper Kettle,23.82,EUR,jewellery,102,2024-03-03
BET-P006,Organic Glass Vase,140.6,EUR,stationery,106,2024-03-03
BET-P007,Handmade Oak Cutting Board,130.28,EUR,stationery,193,2024-03-03
BET-P008,Modern Clay Planter,69.12,EUR,fashion,42,2024-03-03
BET-P009,Organic Iron Bookend,107.38,EUR,jewellery,189,2024-03-03
BET-P010,Bespoke Wool Blanket,83.5,EUR,jewellery,187,2024-03-03
BET-P011,Natural Bamboo Tray,144.86,EUR,jewellery,182,2024-03-03
BET-P012,Natural Silk Cushion,30.78,EUR,kitchen,77,2024-03-03
BET-P013,Natural Cotton Scarf,145.31,EUR,stationery,85,2024-03-03
BET-P014,Handmade Glass Vase,140.22,EUR,home,10,2024-03-03
BET-P015,Handmade Glass Vase,121.24,EUR,jewellery,163,2024-03-03
BET-P016,Artisan Stone Mortar,98.86,EUR,decor,18,2024-03-03
BET-P017,Artisan Glass Vase,98.18,EUR,accessories,83,2024-03-03
